GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01084,01084,"ZIP 01084 (West Chesterfield, MA)",00,Total for all sectors,2010,2,a,D,D
8610000US01085,01085,"ZIP 01085 (Westfield, MA)",00,Total for all sectors,2010,832,12676,108969,474815
8610000US01086,01086,"ZIP 01086 (Westfield, MA)",00,Total for all sectors,2010,24,f,D,D
8610000US01088,01088,"ZIP 01088 (West Hatfield, MA)",00,Total for all sectors,2010,20,137,1311,5681
8610000US01089,01089,"ZIP 01089 (West Springfield, MA)",00,Total for all sectors,2010,965,15403,123707,545194
8610000US01090,01090,"ZIP 01090 (West Springfield, MA)",00,Total for all sectors,2010,19,160,1673,8228
8610000US01092,01092,"ZIP 01092 (West Warren, MA)",00,Total for all sectors,2010,22,b,D,D
8610000US01093,01093,"ZIP 01093 (Whately, MA)",00,Total for all sectors,2010,33,1037,7680,33731
8610000US01094,01094,"ZIP 01094 (Wheelwright, MA)",00,Total for all sectors,2010,3,15,125,584
8610000US01095,01095,"ZIP 01095 (Wilbraham, MA)",00,Total for all sectors,2010,310,3790,30110,130354
8610000US01096,01096,"ZIP 01096 (Williamsburg, MA)",00,Total for all sectors,2010,41,245,1259,6294
8610000US01098,01098,"ZIP 01098 (Worthington, MA)",00,Total for all sectors,2010,29,123,860,3727
8610000US01101,01101,"ZIP 01101 (Springfield, MA)",00,Total for all sectors,2010,39,1182,8265,35510
8610000US01102,01102,"ZIP 01102 (Springfield, MA)",00,Total for all sectors,2010,18,h,35803,157675
8610000US01103,01103,"ZIP 01103 (Springfield, MA)",00,Total for all sectors,2010,541,6943,60973,276304
8610000US01104,01104,"ZIP 01104 (Springfield, MA)",00,Total for all sectors,2010,543,15083,153569,706221
8610000US01105,01105,"ZIP 01105 (Springfield, MA)",00,Total for all sectors,2010,258,4849,40037,169925
8610000US01106,01106,"ZIP 01106 (Longmeadow, MA)",00,Total for all sectors,2010,249,3132,19567,87778
8610000US01107,01107,"ZIP 01107 (Springfield, MA)",00,Total for all sectors,2010,144,2010,25054,121385
8610000US01108,01108,"ZIP 01108 (Springfield, MA)",00,Total for all sectors,2010,260,2557,15002,65215
