type,facility_name,state,zip
State Correctional Facility,Preston E. Smith Unit,Texas,79331-1898
State Correctional Facility,Clarence N. Stevenson Unit,Texas,77954
State Correctional Facility,Mark W. Stiles Unit,Texas,77705
State Correctional Facility,"A.M. ""Mac"" Stringfellow Unit",Texas,77583
State Correctional Facility,Barry B. Telford Unit,Texas,75570
State Correctional Facility,C.T. Terrell Unit,Texas,77583
State Correctional Facility,Ruben M. Torres Unit,Texas,78861
Contract Facility,T. Don Hutto Residential Center,Texas,76574
State Correctional Facility,Travis County State Jail,Texas,78724
Transfer Facility,Tulia Transfer Facility,Texas,79088
State Correctional Facility,Carol S. Vance Unit,Texas,77406
State Correctional Facility,Daniel Webster Wallace Unit,Texas,79512
Transfer Facility,Dick Ware Transfer Facility,Texas,79512
State Correctional Facility,J.B. Wheeler State Jail,Texas,79072
Contract Facility,Willacy County State Jail,Texas,78580
Contract Facility,Wiillacy Country Correctional Center,Texas,78580
Contract Facility,Wiillacy Country Regional Detention Facility,Texas,78580
State Correctional Facility,Linda Woodman State Jail,Texas,76528
State Correctional Facility,John M. Wynne Unit,Texas,77349
State Medical Facility,Carole S. Young Medical Facility,Texas,77539
State Correctional Facility,Baten Intermediate Sanction Facility,Texas,79065
State Correctional Facility,South Texas Intermediate Sanction Facility,Texas,77002
State Correctional Facility,West Texas Intermediate Sanction Facility,Texas,79316
Contract Facility,Reeves County Detention Complex (R1&R2),Texas,79772
State Correctional Facility,Lunenburg Correctional Center,Virginia,23974
Contract Facility,Big Spring Correctional Center,Texas,79720
Contract Facility,Val Verde Correctional Facility,Texas,78840
Contract Facility,South Texas Detention Complex,Texas,78061
Contract Facility,Joe Corley Detention Facility,Texas,77301
Contract Facility,Rio Grande Detention Center,Texas,78046
Contract Facility,Webb County Detention Center,Texas,78046
Contract Facility,Laredo Processing Center,Texas,78041
Contract Facility,Mineral Wells Pre-Parole Transfer Facility,Texas,76067
Contract Facility,Central Texas Detention Facility,Texas,78207
Contract Facility,Karnes County Correctional Center,Texas,78118
Contract Facility,Karnes County Civil Detention Center,Texas,78118
State Correctional Facility,Utah State Prison - Draper,Utah,84020
State Correctional Facility,Central Utah Correctional Facility - Gunnison,Utah,84634
State Correctional Facility,Northern State Correctional Facility (NSCF) - Newport,Vermont,5855
State Correctional Facility,Northwest State Correctional Facility (NWSCF) - Swanton,Vermont,5488
State Correctional Facility,Chittenden Regional Correctional Facility (CRCF) - South Burlington,Vermont,5403
State Correctional Facility,Northeast Correctional Complex (NERCF & CCWC) - St. Johnsbury,Vermont,5819
State Correctional Facility,Marble Valley Regional Correctional Facility (MVRCF) - Rutland,Vermont,5701
State Correctional Facility,Southeast State Correctional Facility (SESCF) - Windsor,Vermont,5089
State Correctional Facility,Southern State Correctional Facility (SSCF) - Springfield,Vermont,5156
State Correctional Facility,Augusta Correctional Center,Virginia,24430
State Correctional Facility,Baskerville Correctional Center,Virginia,23915
State Correctional Facility,Bland Correctional Center,Virginia,24315-9615
State Correctional Facility,Buckingham Correctional Center,Virginia,23936
State Correctional Facility,Brunswick Work Center,Virginia,23868
State Correctional Facility,Caroline Correctional Unit #2,Virginia,23069
State Correctional Facility,Central Virginia Correctional Unit #13,Virginia,23832
State Correctional Facility,Coffeewood Correctional Center,Virginia,22729
State Correctional Facility,Cold Springs Correctional Unit #10,Virginia,24440
State Correctional Facility,Deerfield Correctional Center,Virginia,23829
State Correctional Facility,Deep Meadow Correctional Center,Virginia,23160
State Correctional Facility,Dillwyn Correctional Center,Virginia,23936
State Correctional Facility,Fluvanna Correctional Center for Women,Virginia,22974
State Correctional Facility,Green Rock Correctional Center,Virginia,24531
State Correctional Facility,Greensville Correctional Center/Greensville Work Center,Virginia,23870-9614
State Correctional Facility,Halifax Correctional Unit #23,Virginia,24558
State Correctional Facility,Haynesville Correctional Center,Virginia,22472
State Correctional Facility,Haynesville Correctional Unit #17,Virginia,22472
State Correctional Facility,Indian Creek Correctional Center,Virginia,23328-6481
State Correctional Facility,James River Work Center,Virginia,23160
State Correctional Facility,Keen Mountain Correctional Center,Virginia,24631
Contract Facility,Lawrenceville Correctional Center,Virginia,23868
State Correctional Facility,Marion Correctional Center,Virginia,24354-3145
State Correctional Facility,MCV Security Ward,Virginia,
State Correctional Facility,Nottoway Correctional Center,Virginia,23922
State Correctional Facility,Patrick Henry Correctional Unit #28,Virginia,24148
State Correctional Facility,Pocahontas State Correctional Center,Virginia,24635-0518
State Correctional Facility,Powhatan Correctional Center,Virginia,23160
State Correctional Facility,Red Onion State Prison,Virginia,24279
State Correctional Facility,River North Correctional Center,Virginia,24348
State Correctional Facility,Rustburg Correctional Unit #9,Virginia,24588
State Correctional Facility,St. Brides Correctional Center,Virginia,23328-6482
State Correctional Facility,Sussex I State Prison,Virginia,23891-1111
State Correctional Facility,Sussex II State Prison,Virginia,23891-2222
State Correctional Facility,Virginia Correctional Center for Women,Virginia,23063
State Correctional Facility,Wallens Ridge State Prison,Virginia,24219
State Correctional Facility,Wise Correctional Unit,Virginia,24230
State Correctional Facility,Airway Heights Corrections Center,Washington,99001-1899
State Correctional Facility,Cedar Creek Corrections Center,Washington,98556-0037
State Correctional Facility,Clallam Bay Corrections Center,Washington,98326
State Correctional Facility,Coyote Ridge Corrections Center,Washington,99326
State Correctional Facility,Larch Corrections Center,Washington,98675-9531
State Correctional Facility,Mission Creek Corrections Center For Women,Washington,98528
State Correctional Facility,Monroe Correctional Complex,Washington,98272
State Correctional Facility,Olympic Corrections Center,Washington,98331
State Correctional Facility,Stafford Creek Corrections Center,Washington,98520
State Correctional Facility,Washington Corrections Center,Washington,98584
State Correctional Facility,Washington Corrections Center For Women,Washington,98332-8300
Contract Facility,Northwest Detention Center,Washington,98421
State Correctional Facility,Washington State Penitentiary,Washington,99362
Contract Facility,Correctional Treatment Facility,Washington D.C.,20003
State Correctional Facility,Anthony Correctional Center,West Virginia,24986
State Correctional Facility,Ohio County Correctional Complex,West Virginia,26003
State Correctional Facility,Northern Correctional Facility,West Virginia,26041
State Correctional Facility,Saint Marys Correctional Center,West Virginia,26170
State Correctional Facility,Pruntytown Correctional Center,West Virginia,26354
State Correctional Facility,Martinsburg Correctional Center,West Virginia,25401
State Correctional Facility,Lakin Correctional Center,West Virginia,25287
State Correctional Facility,West Virginia Corrections Academy,West Virginia,26351
Work Camps / Work Release / Road Prisons,Huntington Work/Study Release Center,West Virginia,25701
State Correctional Facility,Huttonsville Correctional Center,West Virginia,26273
Work Camps / Work Release / Road Prisons,Charleston Work Release Center,West Virginia,25301-1319
State Correctional Facility,Mount Olive Correctional Complex,West Virginia,25185
State Correctional Facility,Denmar Correctional Center,West Virginia,24946
State Correctional Facility,Beckley Correctional Center,West Virginia,25801
State Correctional Facility,Chippewa Valley Correctional Treatment Facility,Wisconsin,54729
State Correctional Facility,Columbia Correctional Institution,Wisconsin,53901-0950
State Correctional Facility,Dodge Correctional Institution,Wisconsin,53963-0661
State Correctional Facility,Fox Lake Correctional Institution,Wisconsin,53933-0147
State Correctional Facility,Green Bay Correctional Institution,Wisconsin,54307-9033
State Correctional Facility,Jackson Correctional Institution,Wisconsin,54615-0232
State Correctional Facility,Kettle Moraine Correctional Institution,Wisconsin,53073
State Correctional Facility,Milwaukee Secure Detention Facility,Wisconsin,53205-0740
State Correctional Facility,New Lisbon Correctional Institution,Wisconsin,53950-2000
State Correctional Facility,Oakhill Correctional Institution,Wisconsin,53575-0140
State Correctional Facility,Oshkosh Correctional Institution,Wisconsin,54903-3530
State Correctional Facility,Prairie du Chien Correctional Institution,Wisconsin,53821-6000
State Correctional Facility,Racine Correctional Institution,Wisconsin,53177-1829
State Correctional Facility,Racine Youthful Offender Correctional Facility,Wisconsin,53404-0001
State Correctional Facility,Redgranite Correctional Institution,Wisconsin,54970
State Correctional Facility,Stanley Correctional Institution,Wisconsin,54768-6500
Transition Center,Sturtevant Transitional Facility,Wisconsin,53177
State Correctional Facility,Taycheedah Correctional Institution,Wisconsin,54936-1947
State Correctional Facility,Waupun Correctional Institution,Wisconsin,53963-0351
State Correctional Facility,Wisconsin Secure Program Facility,Wisconsin,53805-0900
State Correctional Facility,Black River Correctional Center,Wisconsin,54615-6426
State Medical Facility,Drug Abuse Correctional Center,Wisconsin,54985-0036
State Correctional Facility,Felmers O. Chaney Correctional Center,Wisconsin,53210
State Correctional Facility,Flambeau Correctional Center,Wisconsin,54530-9400
State Correctional Facility,Gordon Correctional Center,Wisconsin,54838
State Correctional Facility,John C. Burke Correctional Center,Wisconsin,53963-0900
State Correctional Facility,Kenosha Correctional Center,Wisconsin,53143
State Correctional Facility,Marshall E. Sherrer Correctional Center,Wisconsin,53205-2596
State Correctional Facility,McNaughton Correctional Center,Wisconsin,54539-9558
State Correctional Facility,Oregon Correctional Center,Wisconsin,53575-0025
State Correctional Facility,Sanger B. Powers Correctional Center,Wisconsin,54155-9300
State Correctional Facility,St. Croix Correctional Center,Wisconsin,54017-0036
State Correctional Facility,Thompson Correctional Center,Wisconsin,53531-9562
State Correctional Facility,Winnebago Correctional Center,Wisconsin,54985-0128
State Correctional Facility,Robert E. Ellsworth Correctional Center,Wisconsin,53182-9408
State Correctional Facility,Milwaukee Women's Correctional Center,Wisconsin,53212
State Correctional Facility,Copper Lake School,Wisconsin,54442
State Correctional Facility,Lincoln Hillls School for Boys,Wisconsin,54442
State Correctional Facility,Wyoming State Penitentiary,Wyoming,82301-0400
State Correctional Facility,Wyoming Women's Center,Wyoming,82225
Work Camps / Work Release / Road Prisons,Wyoming Honor Farm,Wyoming,82501-9411
Work Camps / Work Release / Road Prisons,Wyoming Honor Conservation Camp & Boot Camp,Wyoming,82701-0160
State Correctional Facility,Wyoming Medium Correctional Institution,Wyoming,82240
